,state,date,17031,17043,17089,17091,17095,17097,17099,17111,17113,17119,17143,17161,17163,17167,17179,17183,17197,17201,total_cnts
0,IL,2020-08-02,27,5.0,1.0,0.0,1.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,10.0,1.0,4.0,0.0,0.0,0.0,63.0
233,IL,2020-08-03,38,6.0,0.0,0.0,0.0,6.0,1.0,6.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0,81.0
604,IL,2020-08-04,36,5.0,1.0,0.0,1.0,8.0,0.0,7.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,69.0
1,IL,2020-08-05,38,5.0,1.0,0.0,0.0,7.0,1.0,8.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,76.0
360,IL,2020-08-06,41,8.0,1.0,1.0,1.0,7.0,0.0,7.0,0.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,7.0,1.0,95.0
571,IL,2020-08-07,35,7.0,0.0,1.0,0.0,8.0,0.0,8.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,7.0,0.0,80.0
2,IL,2020-08-08,26,5.0,0.0,0.0,1.0,6.0,0.0,8.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,0.0,62.0
3,IL,2020-08-09,37,5.0,0.0,0.0,0.0,10.0,0.0,8.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,4.0,0.0,83.0
361,IL,2020-08-10,37,5.0,6.0,0.0,1.0,13.0,0.0,12.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,1.0,92.0
532,IL,2020-08-11,49,4.0,1.0,0.0,0.0,9.0,0.0,10.0,1.0,1.0,4.0,0.0,1.0,1.0,1.0,0.0,6.0,0.0,100.0
605,IL,2020-08-12,50,1.0,4.0,1.0,0.0,11.0,0.0,13.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,0.0,95.0
533,IL,2020-08-13,39,4.0,1.0,0.0,0.0,12.0,0.0,13.0,1.0,0.0,1.0,1.0,5.0,7.0,1.0,0.0,5.0,0.0,97.0
4,IL,2020-08-14,42,5.0,0.0,0.0,0.0,14.0,0.0,11.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,0.0,1.0,0.0,96.0
